location1,location2,location3,location4,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9
a2,2,1,1,198.4, 184.0, 183.4, 192.4, 192.4, 195.6, 185.8, 193.6, 196.6
a2,2,1,1,207.4, 180.0, 182.8, 197.2, 191.8, 194.2, 188.8, 192.4, 195.4
a2,2,1,1,210.4, 186.4, 187.6, 200.8, 199.6, 199.0, 189.4, 198.4, 191.8
a2,2,1,1,203.8, 179.8, 183.4, 198.4, 189.4, 193.6, 182.2, 194.2, 197.2
a2,2,1,1,202.0, 188.0, 187.0, 199.0, 192.4, 196.0, 196.6, 200.2, 197.2
a2,2,1,1,211.2, 193.0, 188.0, 199.0, 193.0, 198.4, 192.0, 191.2, 192.4
a2,2,1,1,205.0, 188.8, 184.0, 193.0, 200.8, 199.6, 191.8, 191.8, 195.4
a2,2,1,1,204.4, 187.0, 189.4, 200.2, 194.2, 201.4, 192.4, 201.4, 192.4
a2,2,1,1,199.0, 179.0, 187.0, 192.4, 193.6, 201.4, 192.4, 202.0, 199.0
a2,2,1,1,202.6, 178.6, 186.4, 187.6, 195.4, 196.6, 184.6, 192.4, 200.2
b0,1,1,1,202.0, 177.4, 185.8, 188.8, 200.2, 191.2, 185.8, 193.0, 191.8
b0,1,1,1,205.0, 180.25, 187.6, 193.0, 185.8, 195.0, 188.2, 187.0, 195.4
b0,1,1,1,204.4, 181.75, 179.8, 199.42857142857142, 192.4, 196.0, 185.8, 193.0, 194.2
b0,1,1,1,201.4, 182.0, 180.4, 191.2, 183.4, 185.2, 179.8, 182.8, 190.6
b0,1,1,1,201.4, 183.4, 185.8, 190.0, 197.8, 191.8, 184.42857142857142, 191.2, 189.4
b0,1,1,1,198.4, 191.2, 183.4, 181.6, 194.8, 195.4, 184.0, 193.0, 187.0
b0,1,1,1,203.2, 193.0, 185.2, 196.0, 202.0, 197.8, 195.0, 194.2, 199.0
b0,1,1,1,199.4, 180.4, 186.6, 196.8, 197.6, 191.6, 190.0, 194.8, 196.2
b0,1,1,1,205.0, 185.2, 192.4, 199.0, 195.4, 196.0, 195.4, 199.0, 199.0
b0,1,1,1,199.0, 183.4, 182.2, 188.8, 195.4, 196.0, 186.4, 190.0, 192.4
b0,1,1,1,197.2, 184.0, 185.2, 191.2, 191.8, 197.71428571428572, 187.0, 201.4, 188.8
b1,1,1,1,199.2, 184.2, 190.2, 200.4, 194.2, 195.4, 193.0, 200.2, 193.8
b1,1,1,1,206.4, 186.4, 188.0, 200.2, 197.6, 194.0, 195.4, 198.0, 195.4
b1,1,1,1,209.2, 183.4, 185.8, 197.2, 195.4, 191.8, 192.4, 196.6, 193.0
b1,1,1,1,212.2, 187.0, 187.6, 196.6, 202.0, 194.2, 184.0, 200.8, 194.8
b1,1,1,1,211.0, 185.8, 185.8, 197.2, 198.4, 198.6, 193.6, 193.0, 199.0
b1,1,1,1,202.6, 189.4, 188.2, 196.0, 199.6, 194.0, 193.6, 199.0, 195.4
b1,1,1,1,208.0, 178.6, 183.4, 200.8, 192.4, 196.6, 188.2, 201.4, 187.6
b1,1,1,1,209.6, 183.4, 189.6, 193.0, 199.6, 200.4, 189.4, 194.2, 190.0
b1,1,1,1,205.0, 180.4, 183.4, 199.4, 194.4, 200.0, 191.2, 198.0, 196.0
b1,1,1,1,203.2, 185.8, 186.6, 196.8, 193.6, 195.6, 194.2, 197.4, 198.2
b1,1,1,1,216.6, 192.4, 185.8, 197.2, 202.6, 202.6, 185.8, 199.2, 195.4
b1,1,1,1,210.4, 186.4, 189.4, 198.4, 194.8, 195.4, 197.8, 195.4, 196.6
b1,1,1,1,209.2, 191.8, 192.4, 200.2, 196.0, 199.0, 187.6, 193.0, 183.4
b2,2,1,1,216.0, 187.0, 194.8, 200.0, 198.6, 201.8, 186.4, 198.6, 188.2
b2,2,1,1,198.4, 181.0, 186.4, 196.6, 200.8, 200.8, 191.8, 197.8, 197.2
b2,2,1,1,198.4, 188.8, 186.4, 199.0, 199.0, 201.0, 184.6, 201.4, 194.2
b2,2,1,1,210.4, 184.0, 189.4, 202.6, 200.8, 203.2, 191.0, 195.4, 192.4
b2,2,1,1,198.4, 192.4, 189.4, 195.4, 190.6, 199.6, 191.8, 197.8, 197.8
b2,2,1,1,207.4, 181.0, 187.6, 206.8, 202.0, 199.0, 191.8, 191.8, 189.4
b2,2,1,1,212.0, 185.8, 190.0, 207.4, 202.6, 197.8, 191.8, 199.6, 183.4
b2,2,1,1,200.2, 186.4, 187.75, 195.4, 198.4, 201.4, 190.0, 197.8, 195.4
b2,2,1,1,203.2, 189.4, 189.4, 201.4, 195.4, 193.0, 196.6, 200.2, 194.8
b2,2,1,1,213.6, 187.0, 184.0, 203.2, 199.6, 202.0, 191.8, 193.0, 200.2
b2,2,1,1,197.2, 189.4, 189.4, 201.4, 202.0, 202.6, 192.25, 198.4, 192.4
b2,2,1,1,208.2, 189.4, 186.4, 206.8, 205.6, 201.4, 193.0, 199.0, 188.8
b2,2,1,1,202.0, 190.0, 191.8, 199.0, 202.0, 194.8, 197.2, 202.0, 195.4
b2,2,1,1,202.6, 186.4, 186.0, 197.2, 199.0, 199.0, 191.8, 198.0, 194.0
c0,4,1,1,197.6, 183.4, 192.2, 197.2, 198.6, 188.6, 187.0, 189.2, 194.0
c0,4,1,1,197.2, 185.8, 186.25, 186.4, 194.2, 195.4, 181.0, 194.2, 198.4
c0,4,1,1,204.4, 186.66666666666666, 188.2, 192.4, 202.6, 199.5, 182.5, 193.6, 196.6
c0,4,1,1,204.0, 192.4, 195.4, 201.4, 203.2, 196.0, 187.0, 197.8, 201.0
c0,4,1,1,193.6, 175.0, 181.6, 184.0, 186.4, 183.4, 175.0, 183.4, 200.8
c0,4,1,1,199.6, 188.8, 193.6, 185.8, 191.8, 197.2, 185.8, 196.6, 192.4
c0,4,1,1,198.4, 179.2, 187.6, 184.0, 187.6, 189.4, 187.6, 190.0, 193.0
c0,4,1,1,197.2, 181.6, 192.4, 196.0, 192.4, 193.0, 184.0, 195.4, 204.4
c0,4,1,1,198.4, 191.8, 185.8, 191.8, 199.42857142857142, 194.2, 183.0, 193.0, 190.0
c0,4,1,1,195.4, 192.4, 193.6, 191.8, 198.4, 197.2, 185.8, 198.4, 199.6
c0,4,1,1,198.4, 183.4, 181.6, 187.0, 201.4, 196.0, 185.8, 189.4, 198.4
c1,4,1,1,199.0, 180.4, 181.8, 196.6, 198.4, 195.4, 184.6, 193.0, 191.8
c1,4,1,1,200.8, 188.2, 186.4, 196.6, 190.6, 193.6, 186.4, 183.4, 194.8
c1,4,1,1,201.4, 181.0, 185.0, 193.0, 195.4, 200.2, 188.71428571428572, 196.0, 201.4
c1,4,1,1,202.0, 184.0, 193.6, 205.0, 202.0, 199.0, 192.4, 197.8, 207.4
c1,4,1,1,200.8, 195.4, 185.8, 198.4, 198.4, 202.0, 192.4, 201.4, 199.0
c1,4,1,1,195.4, 185.8, 182.8, 195.4, 191.8, 194.2, 193.0, 190.0, 195.4
c1,4,1,1,197.2, 184.0, 188.8, 207.4, 197.2, 201.4, 191.2, 195.4, 196.0
c1,4,1,1,195.0, 190.6, 189.4, 195.4, 199.0, 199.0, 188.2, 190.0, 195.25
c1,4,1,1,202.6, 184.6, 183.4, 192.4, 198.4, 190.0, 188.5, 184.6, 199.0
c3,3,1,1,202.0, 185.8, 190.0, 191.8, 201.4, 185.8, 190.0, 202.0, 191.2
c3,3,1,1,196.4, 189.6, 193.2, 194.0, 199.8, 201.2, 189.4, 200.6, 190.0
c3,3,1,1,203.2, 182.2, 178.0, 188.8, 185.8, 193.6, 185.8, 188.8, 193.0
c3,3,1,1,197.8, 194.2, 192.4, 196.0, 193.6, 192.4, 189.4, 202.0, 193.0
c3,3,1,1,200.2, 182.2, 178.0, 184.6, 188.8, 199.6, 185.0, 191.2, 193.6
c3,3,1,1,201.4, 190.0, 178.6, 196.0, 196.0, 194.2, 189.4, 193.6, 194.8
c3,3,1,1,211.4, 197.8, 195.4, 200.2, 200.8, 206.2, 200.8, 196.0, 196.6
c3,3,1,1,205.0, 190.6, 191.2, 204.4, 200.8, 198.4, 187.6, 195.4, 195.25
c3,3,1,1,201.4, 186.4, 185.8, 195.4, 197.71428571428572, 199.0, 190.0, 192.4, 188.2
c3,3,1,1,205.0, 183.4, 179.5, 194.2, 196.6, 193.6, 187.0, 196.0, 184.0
c3,3,1,1,200.8, 188.8, 185.8, 206.8, 203.2, 200.2, 192.4, 202.0, 181.0
d0,4,1,1,194.2, 183.6, 186.4, 199.8, 193.4, 187.0, 185.8, 194.4, 207.6
d0,4,1,1,190.0, 185.5, 187.0, 200.8, 191.2, 187.0, 184.0, 190.6, 208.0
d0,4,1,1,185.8, 181.6, 190.0, 197.2, 199.6, 200.2, 185.8, 197.2, 204.4
d0,4,1,1,197.8, 191.8, 193.6, 200.8, 205.0, 194.2, 187.6, 195.4, 211.0
d0,4,1,1,201.4, 184.0, 194.8, 205.0, 202.6, 199.0, 191.2, 192.4, 209.71428571428572
d0,4,1,1,191.8, 179.8, 199.0, 202.6, 198.4, 194.8, 191.8, 191.8, 210.4
d0,4,1,1,193.0, 180.4, 189.4, 196.0, 195.0, 193.6, 185.2, 202.0, 217.6
d0,4,1,1,193.0, 187.0, 194.8, 195.4, 197.8, 195.4, 185.8, 196.0, 203.2
d0,4,1,1,191.8, 190.0, 186.4, 194.8, 198.4, 199.0, 185.2, 191.8, 207.4
d0,4,1,1,193.0, 185.0, 187.0, 199.0, 178.0, 194.2, 188.2, 195.4, 199.0
d0,4,1,1,190.0, 179.8, 187.6, 192.4, 191.2, 185.2, 184.0, 190.0, 201.4
d0,4,1,1,191.8, 187.6, 184.0, 193.0, 200.8, 202.6, 187.6, 190.0, 198.4
d0,4,1,1,195.4, 193.0, 189.4, 201.4, 196.6, 194.2, 195.4, 194.8, 214.0
d0,4,1,1,191.8, 176.8, 188.8, 202.0, 201.4, 195.4, 185.8, 187.6, 201.4
d1,4,1,1,204.4, 191.8, 190.0, 204.4, 195.4, 199.0, 191.8, 198.0, 197.2
d1,4,1,1,199.6, 194.0, 189.8, 194.2, 198.6, 204.6, 190.6, 201.8, 207.6
d1,4,1,1,205.0, 186.4, 186.4, 207.4, 195.4, 194.8, 187.0, 203.4, 191.8
d1,4,1,1,204.4, 185.8, 187.0, 199.0, 199.0, 191.8, 193.0, 192.4, 198.4
d1,4,1,1,202.0, 190.0, 194.2, 199.0, 197.8, 197.8, 190.0, 198.4, 200.8
d1,4,1,1,199.0, 181.0, 191.8, 196.0, 194.8, 198.4, 190.0, 196.0, 199.6
d1,4,1,1,200.8, 195.4, 197.2, 202.0, 199.0, 191.8, 194.2, 197.8, 205.0
d1,4,1,1,200.4, 189.6, 186.6, 197.8, 197.4, 201.8, 180.4, 200.4, 204.0
d1,4,1,1,202.0, 188.8, 185.2, 202.0, 192.4, 207.4, 199.0, 199.6, 206.8
d1,4,1,1,198.4, 185.8, 183.4, 202.6, 200.8, 199.6, 198.4, 189.4, 199.6
d1,4,1,1,205.0, 191.2, 196.6, 200.8, 191.8, 198.4, 191.2, 193.6, 209.2
d1,4,1,1,206.8, 188.8, 190.0, 200.8, 196.0, 197.2, 193.0, 200.2, 204.4
d2,3,1,1,201.4, 191.2, 188.2, 204.4, 193.6, 197.2, 188.8, 200.8, 199.6
d2,3,1,1,205.0, 179.8, 186.4, 205.2, 197.2, 201.4, 188.8, 194.2, 194.8
d2,3,1,1,200.2, 186.4, 183.4, 202.6, 196.6, 196.0, 188.8, 196.0, 194.8
d2,3,1,1,207.4, 186.4, 185.8, 204.4, 196.0, 200.2, 186.4, 191.2, 192.4
d2,3,1,1,203.8, 188.8, 192.4, 199.0, 196.0, 202.0, 193.0, 205.0, 205.0
d2,3,1,1,199.6, 190.0, 188.8, 200.8, 196.0, 197.2, 191.8, 191.2, 203.2
d2,3,1,1,210.4, 192.4, 185.8, 204.4, 197.8, 202.0, 187.6, 199.0, 196.6
d2,3,1,1,198.4, 186.4, 195.4, 201.4, 201.4, 200.8, 196.6, 199.0, 195.4
d2,3,1,1,194.8, 183.4, 188.8, 199.0, 196.0, 202.0, 194.8, 197.2, 197.2
d2,3,1,1,203.2, 185.5, 186.4, 200.2, 198.4, 200.8, 189.25, 197.2, 182.0
d2,3,1,1,203.8, 186.4, 189.4, 195.4, 195.0, 197.2, 197.8, 205.0, 200.8
d2,3,1,1,205.0, 191.8, 183.4, 194.5, 198.4, 202.0, 191.8, 193.6, 194.2
d2,3,1,1,196.6, 187.75, 197.8, 194.2, 204.4, 200.2, 185.8, 193.6, 210.4
d3,3,1,1,198.4, 181.0, 188.2, 198.4, 191.8, 194.2, 185.0, 193.6, 191.8
d3,3,1,1,205.0, 190.6, 181.0, 197.8, 194.71428571428572, 192.4, 185.2, 186.4, 202.0
d3,3,1,1,195.4, 185.2, 181.0, 196.0, 185.8, 189.25, 190.0, 180.4, 192.4
d3,3,1,1,199.6, 185.2, 180.4, 199.2, 186.4, 196.6, 187.0, 192.4, 198.4
d3,3,1,1,195.0, 187.0, 184.0, 192.4, 198.4, 200.8, 190.6, 194.2, 193.0
d3,3,1,1,202.6, 188.2, 182.8, 198.4, 193.6, 205.0, 201.4, 184.0, 191.8
d3,3,1,1,201.4, 190.6, 190.0, 211.2, 188.2, 191.2, 193.0, 196.6, 201.4
d3,3,1,1,199.0, 181.75, 182.2, 197.2, 191.8, 195.4, 180.25, 199.6, 194.2
d3,3,1,1,192.4, 186.4, 187.0, 198.4, 200.2, 196.0, 183.4, 195.4, 194.8
d3,3,1,1,200.8, 191.8, 194.8, 201.4, 191.2, 197.8, 198.4, 194.8, 192.4
d3,3,1,1,202.6, 175.0, 181.75, 204.4, 191.8, 185.8, 185.8, 196.6, 198.4
d3,3,1,1,200.8, 190.0, 185.8, 195.4, 191.2, 199.0, 183.4, 197.2, 194.2
d3,3,1,1,200.2, 187.0, 193.0, 196.0, 201.4, 197.8, 191.8, 193.0, 199.0
a3,2,1,1,198.6, 184.0, 185.0, 180.4, 193.6, 199.0, 177.4, 190.0, 196.2
a3,2,1,1,197.2, 181.0, 184.0, 195.4, 190.0, 199.0, 185.8, 200.8, 191.2
a3,2,1,1,207.6, 186.6, 184.4, 193.2, 193.8, 200.2, 186.4, 186.0, 186.4
a3,2,1,1,199.0, 190.0, 187.0, 196.6, 191.8, 199.0, 186.4, 199.0, 187.6
a3,2,1,1,204.4, 186.4, 182.2, 192.4, 197.2, 199.0, 179.8, 196.0, 193.6
a3,2,1,1,202.0, 185.8, 185.8, 190.0, 191.2, 197.2, 185.8, 199.0, 194.2
a3,2,1,1,187.6, 180.4, 185.8, 192.4, 200.8, 194.8, 179.8, 199.0, 188.8
a3,2,1,1,201.4, 185.2, 191.8, 190.8, 196.0, 198.4, 185.8, 196.0, 187.6
a3,2,1,1,201.4, 184.0, 186.4, 192.4, 194.8, 197.2, 187.0, 190.0, 191.2
a3,2,1,1,205.2, 184.8, 183.0, 187.2, 192.8, 194.2, 183.4, 196.4, 201.6
a3,2,1,1,204.0, 183.4, 183.2, 197.2, 195.8, 194.6, 181.6, 195.6, 198.6
c2,3,1,1,198.4, 182.2, 179.0, 199.0, 191.2, 188.8, 189.0, 190.6, 195.4
c2,3,1,1,208.6, 185.8, 179.8, 191.2, 192.4, 201.4, 190.0, 187.0, 199.6
c2,3,1,1,201.4, 185.0, 184.6, 199.0, 194.2, 200.2, 186.4, 187.0, 200.2
c2,3,1,1,215.2, 186.6, 181.4, 202.4, 199.0, 199.2, 190.0, 198.6, 199.6
c2,3,1,1,195.14285714285714, 182.5, 185.5, 196.6, 185.2, 195.4, 184.6, 190.0, 197.8
c2,3,1,1,206.4, 187.0, 184.6, 193.0, 191.2, 204.4, 189.4, 185.8, 194.2
c2,3,1,1,211.8, 181.0, 185.2, 201.4, 189.4, 191.2, 187.6, 196.6, 195.4
c2,3,1,1,205.0, 181.0, 180.4, 184.0, 193.0, 198.4, 182.2, 197.2, 200.8
c2,3,1,1,201.4, 188.2, 185.8, 202.0, 191.8, 197.8, 194.2, 200.8, 185.8
c2,3,1,1,205.0, 183.4, 185.2, 203.875, 197.8, 198.4, 183.4, 195.0, 191.8
c2,3,1,1,202.0, 185.8, 182.8, 199.6, 191.71428571428572, 196.6, 186.4, 191.8, 196.6
c2,3,1,1,205.0, 192.4, 195.4, 200.2, 204.4, 195.4, 191.8, 195.4, 211.0
c2,3,1,1,204.4, 184.0, 181.0, 196.6, 192.4, 195.4, 186.4, 194.2, 200.2
c2,3,1,1,202.0, 185.8, 182.8, 199.6, 191.71428571428572, 196.6, 186.4, 191.8, 196.6
e0,1,8,1,202.0, 185.8, 198.4, 203.8, 189.4, 200.2, 191.8, 197.8, 201.4
e0,1,8,1,190.0, 191.2, 182.8, 199.0, 187.0, 199.0, 181.0, 191.8, 217.8
e0,1,8,1,198.4, 192.14285714285714, 201.0, 201.4, 194.2, 200.8, 184.0, 196.0, 206.2
e0,1,8,1,191.8, 188.8, 186.4, 197.2, 197.2, 196.0, 185.8, 188.8, 205.6
e0,1,8,1,193.0, 180.4, 182.2, 194.2, 191.8, 194.2, 187.75, 194.8, 210.6
e0,1,8,1,193.6, 183.25, 190.33333333333334, 196.0, 191.8, 195.4, 184.0, 191.2, 199.6
e0,1,8,1,202.0, 185.8, 199.0, 204.4, 190.0, 198.4, 191.2, 198.4, 207.4
e0,1,8,1,201.4, 191.8, 191.8, 202.0, 192.4, 191.8, 192.4, 189.4, 205.0
e0,1,8,1,196.0, 192.4, 190.0, 205.6, 196.6, 193.6, 187.6, 193.0, 196.6
e0,1,8,1,191.8, 185.8, 184.6, 195.4, 192.4, 193.0, 188.8, 190.0, 208.0
e0,1,8,1,200.8, 196.0, 195.4, 207.4, 194.8, 195.4, 195.4, 193.6, 208.0
e0,1,8,1,200.8, 180.4, 192.4, 199.0, 191.8, 193.6, 191.0, 193.0, 208.2
e0,1,8,1,198.14285714285714, 180.4, 189.4, 200.8, 188.2, 185.8, 187.0, 186.6, 208.2
e1,1,8,1,196.6, 188.2, 186.4, 205.0, 201.4, 194.2, 190.0, 195.4, 197.8
e1,1,8,1,202.0, 186.25, 187.0, 203.2, 194.2, 200.2, 187.0, 197.2, 207.0
e1,1,8,1,206.8, 187.6, 186.4, 200.8, 195.4, 199.0, 187.0, 194.2, 202.6
e1,1,8,1,200.2, 185.2, 200.8, 205.0, 190.6, 200.2, 191.8, 196.6, 199.0
e1,1,8,1,204.4, 179.8, 187.0, 202.0, 196.0, 200.8, 187.0, 196.0, 205.0
e1,1,8,1,200.2, 196.6, 187.0, 207.4, 199.6, 199.0, 191.8, 201.4, 202.2
e1,1,8,1,201.4, 185.8, 192.4, 207.4, 200.8, 200.8, 189.4, 201.4, 200.8
e1,1,8,1,198.4, 185.2, 187.6, 204.4, 199.0, 196.6, 192.4, 199.0, 200.8
e1,1,8,1,197.8, 194.2, 187.0, 202.0, 196.0, 205.0, 186.4, 200.8, 200.8
e1,1,8,1,204.4, 186.4, 189.4, 200.2, 199.0, 202.0, 193.0, 194.8, 210.4
e1,1,8,1,203.8, 185.2, 193.0, 199.0, 195.4, 191.2, 184.0, 197.2, 197.2
e2,2,8,1,190.0, 187.0, 180.4, 202.0, 189.4, 187.6, 179.8, 192.4, 190.75
e2,2,8,1,190.6, 175.0, 177.25, 189.4, 185.8, 186.4, 182.2, 183.4, 190.0
e2,2,8,1,190.6, 175.0, 183.4, 197.2, 185.5, 190.0, 187.6, 187.0, 185.8
e2,2,8,1,199.0, 179.8, 185.8, 199.6, 191.2, 193.8, 182.8, 191.2, 202.8
e2,2,8,1,206.8, 189.4, 185.8, 202.0, 195.4, 201.4, 191.8, 197.2, 200.2
e2,2,8,1,195.4, 185.2, 183.25, 199.0, 195.4, 192.4, 183.4, 190.0, 194.2
e2,2,8,1,195.8, 179.8, 185.4, 200.8, 194.4, 200.2, 190.0, 194.0, 200.8
e2,2,8,1,196.0, 192.4, 192.4, 205.0, 194.2, 195.4, 195.4, 199.0, 203.2
e2,2,8,1,198.4, 187.0, 184.8, 208.2, 197.4, 192.6, 190.0, 193.8, 200.8
e2,2,8,1,201.4, 191.8, 187.0, 204.4, 188.2, 196.6, 191.4, 202.0, 195.4
e2,2,8,1,188.4, 181.6, 185.4, 190.8, 180.0, 197.2, 183.4, 189.8, 195.4
e2,2,8,1,191.8, 188.2, 186.4, 199.4, 192.4, 192.6, 184.0, 196.4, 192.8
e2,2,8,1,194.4, 179.2, 184.0, 190.6, 186.6, 191.2, 183.4, 189.4, 201.2
e3,2,8,1,189.6, 180.5, 177.8, 187.6, 196.8, 187.4, 177.4, 187.6, 194.4
e3,2,8,1,186.4, 176.2, 191.2, 195.4, 186.4, 182.2, 184.6, 200.2, 191.8
e3,2,8,1,194.71428571428572, 184.0, 190.6, 197.2, 188.2, 184.6, 181.0, 195.4, 193.6
e3,2,8,1,193.6, 183.25, 175.0, 197.2, 188.2, 188.2, 181.0, 190.6, 197.8
e3,2,8,1,187.0, 179.8, 184.0, 187.6, 187.6, 188.8, 178.0, 186.4, 189.4
e3,2,8,1,202.0, 187.6, 185.2, 205.0, 196.0, 199.6, 191.8, 199.0, 201.4
e3,2,8,1,195.4, 191.0, 187.0, 195.4, 189.4, 197.8, 191.2, 194.8, 191.8
e3,2,8,1,191.8, 187.0, 190.6, 200.8, 195.4, 196.0, 190.0, 200.2, 202.0
e3,2,8,1,191.8, 179.8, 184.0, 196.6, 193.6, 192.4, 181.0, 191.8, 192.4
e3,2,8,1,199.6, 193.0, 187.6, 198.4, 189.4, 197.8, 197.2, 195.4, 197.8
e3,2,8,1,195.4, 184.0, 187.6, 202.6, 186.4, 201.4, 190.0, 192.4, 201.4
e3,2,8,1,205.0, 193.0, 179.8, 202.0, 187.0, 197.2, 189.25, 196.6, 203.8
e3,2,8,1,202.6, 176.2, 173.8, 187.6, 185.0, 191.2, 179.8, 194.2, 191.8
e4,1,7,1,191.2, 196.0, 188.2, 201.4, 198.4, 197.8, 194.2, 199.6, 194.8
e4,1,7,1,195.8, 195.6, 186.4, 198.0, 197.6, 201.8, 185.2, 197.2, 197.4
e4,1,7,1,183.4, 182.2, 189.4, 185.8, 188.8, 196.6, 184.0, 195.4, 190.6
e4,1,7,1,193.4, 188.4, 189.2, 198.6, 197.4, 201.4, 195.4, 199.8, 195.8
e4,1,7,1,190.6, 186.4, 185.2, 186.4, 192.6, 194.4, 183.4, 193.6, 189.6
e4,1,7,1,187.0, 181.6, 188.8, 188.2, 191.2, 192.4, 186.25, 193.0, 183.4
e4,1,7,1,185.2, 184.0, 176.2, 190.0, 190.0, 191.2, 181.0, 194.2, 181.85714285714286
e4,1,7,1,189.4, 185.8, 190.6, 194.2, 190.0, 190.6, 185.8, 194.2, 186.4
e4,1,7,1,191.2, 185.8, 184.6, 187.0, 190.6, 182.2, 185.8, 191.2, 183.4
e4,1,7,1,181.6, 178.6, 183.25, 191.8, 187.0, 185.8, 180.4, 186.4, 195.4
e4,1,7,1,190.0, 184.6, 178.0, 186.4, 185.2, 186.4, 182.0, 193.0, 189.4
e4,1,7,1,192.4, 185.8, 187.6, 196.6, 196.0, 198.4, 191.8, 202.6, 193.0
e4,1,7,1,195.4, 190.6, 185.8, 197.8, 196.0, 207.4, 195.4, 201.6, 193.0
e4,1,7,1,185.0, 179.5, 195.4, 198.4, 192.4, 186.0, 184.0, 197.8, 190.6
e5,1,7,1,187.6, 185.8, 186.4, 197.2, 188.8, 190.6, 184.0, 199.0, 184.6
e5,1,7,1,194.2, 190.6, 188.2, 196.0, 196.0, 200.8, 194.8, 199.0, 196.75
e5,1,7,1,200.2, 194.2, 193.6, 205.0, 197.8, 195.4, 197.2, 208.0, 191.2
e5,1,7,1,195.4, 191.2, 191.8, 190.6, 196.6, 203.2, 188.8, 200.8, 206.8
e5,1,7,1,206.8, 191.2, 191.8, 202.6, 200.8, 198.4, 187.0, 202.6, 183.4
e5,1,7,1,201.4, 190.0, 199.0, 198.4, 195.4, 197.8, 190.0, 202.6, 197.2
e5,1,7,1,191.8, 187.0, 190.0, 193.0, 191.8, 197.2, 179.8, 194.2, 188.8
e5,1,7,1,194.8, 190.4, 195.3, 199.0, 200.0, 200.8, 192.4, 198.4, 192.6
e5,1,7,1,200.8, 191.8, 194.8, 205.0, 199.0, 202.0, 198.4, 198.4, 195.4
e5,1,7,1,196.8, 194.6, 187.0, 196.2, 191.4, 194.4, 190.0, 201.6, 189.0
e5,1,7,1,190.42857142857142, 185.8, 189.6, 185.8, 198.4, 192.4, 184.6, 197.2, 187.0
